.,Italian
EventFantasmaVerdeHABLA2.text,"<i> -Mi è sempre piaciuto ascoltarti parlare dell'ultima cosa che ricordi prima di arrivare qui. Non preoccuparti, è normale. Ricordo che anche a mio padre piaceva bere Whisky con due cubetti di ghiaccio. A volte lo bevo io stesso, ma ora non posso, perché non sono a casa. - </i>\n\n Ottieni 1 {clue} e subisci 2 Orrori a faccia in giù ({will}-1 nega)."
EventFantasmaVerdeHABLA2.button1,Non fai nulla
EventFantasmaVerdeHABLA2.button2,{action} Chi sei?
EventFantasmaVerdeHABLA3.text,"<i> -Io non sono me e tu non sei tu. Non puoi ancora vederlo, ma un giorno lo farai anche tu. - </i>\n  La ragazza ride mentre scompare davanti ai tuoi occhi."
EventFantasmaVerdeHABLA3.button1,Continua
EventRezaryLlorar.text,Non succede niente, ma per qualche motivo provi un senso di sollievo.
EventRezaryLlorar.button1,Continua
EventMostrarCocina.text,"Apri la porta e vedi un lungo tavolo che domina in una piccola sala da pranzo. Attraverso un portello di servizio è possibile vedere una cucina attigua.\n\nRimuovi il segnalino Esplorazione e posiziona la tessera <b>{c:TileComedorCocina}</b>."
EventMostrarCocina.button1,Continua
EventDentroCocina.text,"Alla fine della sala da pranzo c'è una porta e al suo fianco c'è un mobile per liquori dall'aspetto elegante. Attraverso lo sportello di servizio puoi vedere che qualcuno ha lasciato il frigorifero aperto e sul pavimento si è formata una pozzanghera. Il pavimento è cosparso da vetri rotti provenienti da diverse ante di armadi rotti. In fondo alla stanza si nota una porta di legno.\n\nPosiziona i segnalini Esplorazione e Ricerca come indicato. Puoi muoverti di uno spazio nell'area esplorata."
EventDentroCocina.button1,Continua
EventMostrarPuertaOculta1.text,"Questo evento ha effetto su tutti gli investigatori che si trovano sulla tessera {c:TileFinalPasillo}.\n\nSenti una risatina. Quando ti accorgi che proviene dal ritratto in fondo al corridoio, l'immagine della ragazza ti sorride e il dipinto inizia a sbiadire. Dove c'era il ritratto, c'è una porta così reale che puoi persino sentire l'odore del legno.\n\nSubisci 3 orrori a faccia in giù ({will} -1 nega)."
EventMostrarPuertaOculta1.button1,Continua
EventPuertaOculta12.text,Scarta il segnalino muro e piazza un segnalino esplorazione come indicato.
EventPuertaOculta12.button1,Continua
EventAbrirPuertaFAKE2Pesadilla.text,"La porta si apre verso l'interno e la luce dall'interno ti acceca momentaneamente. Sbattendo le palpebre per allontanare le macchie dalla tua vista ti accorgi che ci sono delle sbarre che ti impediscono di entrare nella stanza. Dentro sei sorpreso di vedere un bambino enorme, più grande di quanto dovrebbe essere, che cammina per la stanza indicando e gridando:\n\n<i> -Mamma, mamma! Voglio questo, voglio questo uccellino! </i>\n \nSbatti la porta e la blocchi con una sedia. Subisci 3 orrori a faccia in giù ({lore} -1 nega), poi ottieni 2 {clue}. Rimuovi il segnalino Esplorazione."
EventAbrirPuertaFAKE2Pesadilla.button1,Continua
EventRebuscarMuebleBarPesadilla.text,Tutte le bottiglie sembrano essere vuote, effettua una prova di ({observation}).
EventRebuscarMuebleBarPesadilla.button1,Continua
EventRebuscarMuebleBarPesadilla.button2,Fallisci
EventSOLRebuscarBar.text,"Dopo un po 'di ricerca tra le bottiglie vuote, scopri un piccolo vano che contiene l'unica bottiglia piena nell'armadio. Quando lo tiri fuori ti rendi conto di avere qualcosa appeso al collo.\n\n Ottieni l'Oggetto Comune <b>Acquasanta </b> e l'Oggetto Unico<b> {c:QItemSectario}</b>. Ottieni 1 {clue}. Rimuovi il segnalino Ricerca."
EventBuscarNevera.text,"Il cibo nel frigorifero è andato a male da tempo e enormi vermi si dimenano e si contorcono tra i resti. Apri il piccolo congelatore ed estrai una bottiglia che ti è familiare.\n\nOttieni l'oggetto comune <b> Whisky </b> e diventa <b> Stordito </b>. Rimuovi il segnalino di Ricerca."
EventBuscarNevera.button1,Continua
EventAmariosCocina.text,"Guardi dentro l'armadio, dentro c'è un nido d'uccello pieno di piume colorate e resti di vetri rotti. Stando attento a non tagliarti, prendi un uovo nero dal nido. Immediatamente ti accorgi che non è un uovo, ma una pietra levigata.\n\n Ottieni <b>{c:QItemTalisman}</b>. Rimuovi il segnalino Ricerca."
EventAmariosCocina.button1,Continua
EventMostrarDespacho1.text,"\nLa luce della scrivania illumina l'ufficio dall'aspetto buio ma accogliente. Rimuovi il segnalino di Esplorazione e posiziona la tessera <b> {c:TileDespacho}</b>."
EventMostrarDespacho1.button1,Continua
EventDentroDespacho.text,"La scrivania al centro della stanza ha due cassetti su un lato. Sullo sfondo una porta di colore rossastro sembra essere realizzata con una specie di legno tropicale.\n\nPosiziona un gettone Esplorazione e Ricerca come indicato.\nPuoi muoverti di uno spazio nell'area esplorata."
EventDentroDespacho.button1,Continua
EventSolucionPuzzleBIBLIO.text,Quando si inseriscono i simboli scompaiono e con un clic la porta si sblocca.
EventSolucionPuzzleBIBLIO.button1,Continua
EventBuscarMesaDespachoPesadilla.text,"Tra le piume colorate che riempiono il cassetto, vedi il luccichio di un vecchio orologio di metallo e accanto ad esso un mazzo di chiavi arrugginite.\n\nOttieni l'oggetto comune <b> Orologio da taschino </b>, l'oggetto unico <b> Vecchie chiavi </b> e diventa <b> Stordito </b>.\n  Rimuovi il segnalino di Ricerca."
EventBuscarMesaDespachoPesadilla.button1,Continua
EventMostrarPasilloLavabo.text,"Aprendo la porta si scopre un piccolo corridoio buio con una poltrona in un angolo.\n\nRimuovi il segnalino Esplorazione e posiziona la tessera <b>{c:TileLavabo} </b> come indicato."
EventMostrarPasilloLavabo.button1,Continua
EventDentroPasilloLavabo.text,"Da un lato c'è una porta che sembra condurre ad un bagno. Accanto ad essa puoi vedere una porta di legno che è stata deformata dall'umidità. Ora, guardando più da vicino noti che la sedia nell'angolo è ricoperta di piume colorate.\n\nPosiziona i segnalini Esplorazione e Ricerca come indicato. Puoi muoverti di uno spazio nell'area esplorata."
EventDentroPasilloLavabo.button1,Continua
EventDentroLavabo.text,"Un WC, un lavandino e una vasca da bagno senza tenda formano questo modesto bagno ma pratico. Sembra che ci sia qualcosa scritto sullo specchio sopra il lavandino.\n\nPosiziona il segnalino di Ricerca come indicato. Puoi muoverti di uno spazio nell'area esplorata."
EventDentroLavabo.button1,Continua
EventDescifrarBaho.text,Studi attentamente le lettere per qualche istante. Più le guardi, più ti sembra di capire cosa c'è scritto. Senza rendertene conto inizi a recitare la litania che stai leggendo in una lingua che non puoi nemmeno comprendere.
EventDescifrarBaho.button1,Continua
EventBorrarBaho.text,"Pulisci la scritta dallo specchio con l'avambraccio e provi un senso di sollievo.\n\nGira 1 orrore a faccia in giù. o scarta un orrore a faccia in giù. Rimuovi il segnalino di Ricerca."
EventBorrarBaho.button1,Continua
EventDescifrarBaho2Pesadilla.text,"Le luci del bagno si spengono improvvisamente e l'aria diventa fredda.\n\n  Posiziona un'oscurità nello spazio. Tutti gli investigatori nello spazio del Bagno subiscono 2 orrori ({will} -1 nega)."
EventDescifrarBaho2Pesadilla.button1,Continua
EventDescifrarBaho3.text,"Le luci si riaccendono e si sente il singhiozzo di un ragazzino che è apparso all'improvviso, rannicchiato in mezzo al pavimento del bagno.\nRimuovi l'oscurità e posiziona un segnalino Persona come indicato."
EventDescifrarBaho3.button1,Continua
EventMAL.text,"<i> -Volevo quell'uccellino !! - </i>\n\nIl bambino urla mentre ti guarda, ha il viso rosso pieno di lacrime. Lo avvolgi tra le tue braccia e smette di piangere. Alza la testa, sorride e dì guardandoti negli occhi:\n\n  <i> -So cosa faremo, ... sarai il mio uccellino.- </i>"
EventMAL.button1,Continua
EventMALMALPesadilla.text,|||Il bambino ti abbraccia forte e ti sussurra all'orecchio: <i>\n"Io sono te e tu sei me, ora vedrai ciò che possiamo vedere entrambi </i>."\n\nTi vedi sdraiato, sembri addormentato e dove ti aspetteresti che qualcuno piangesse al tuo fianco, ti rendi conto di essere solo, in mezzo al nulla. Tutto è buio e sembra che tu non riesca a respirare. Vai verso un puntino di luce, anche se senti un grande senso di proibizione mentre ti avvicini. Vedi il viso di un uomo con gli occhi spaventati e strappati, ti afferra la testa con mani giganti e fredde e ti trascina verso la luce. Ti mostra una tenda rossa e uno stormo di uccelli colorati che si alza in volo venendo direttamente verso di te.\nChiudi gli occhi e senti la voce di un bambino piccolo:\n- <i> Benvenuto a casa, Uccellino. - </i>.\n\nOttieni l'incantesimo <b> Mente Superiore </b>.\nL'Investigatore scarta tutte le sue carte orrore a faccia in giù e diventa <b> Impazzito </b>.\n\nSe l'investigatore era già pazzo, viene sconfitto e gli investigatori hanno un turno aggiuntivo per completare l'indagine.|||
EventMALMALPesadilla.button1,Continua
EventForzarPuertaCampanario.text,"La porta non si aprirà. L'umidità ha provocato il rigonfiamento del legno che la tiene bloccata. Spingi con tutte le tue forze nel tentativo di forzare l'apertura della porta.\n\nEffettua una prova di ({strength}), tira 2 dadi aggiuntivi se possiedi l'oggetto comune <b> Piede di Porco </b>."
EventForzarPuertaCampanario.button1,Continua
EventForzarPuertaCampanario.button2,Fallito
EventAbrirPuertaCampanario.text,"\nLa porta si scheggia e si rompe in due, facendoti perdere l'equilibrio e inciampando sui resti della porta.\n\nSubisci 4 danni a faccia in giù ({agility} -1 nega).\n\nRimuovi il segnalino Esplorazione e posiziona la tessera <b> {c:TileCampanario}</b>. Quindi posiziona il tuo investigatore in uno spazio all'interno del campanile.\n"
EventAbrirPuertaCampanario.button1,Continua
EventAccionarAdelante.text,Sposta la leva in avanti (+). Un meccanismo aziona la campana e inizia ad oscillare, facendola suonare.
EventAccionarAdelante.button1,Continua
EventDentroCampanario.text,"Ti guardi intorno nella stanza, la testa ti gira per l'impatto della caduta. Una campana di bronzo è appesa in cima al campanile, anche se la stanza è ingombra di scatole che la rendono più simile ad un magazzino.\n\nPosiziona i segnalini di Ricerca come indicato."
EventDentroCampanario.button1,Continua
EventBuscarCajasCampanario.text,Rimuovendo lo spesso strato di polvere apri una delle scatole. Inizi a perdere la cognizione del tempo mentre ispezioni i libri che trovi all'interno, uno per uno. Effettua una prova di ({lore}).
EventBuscarCajasCampanario.button1,Continua
EventBuscarCajasCampanario.button2,Fallito
EventBIBLIA.text,"Dopo quelle che sembrano ore passate a controllare le scatole, ne apri una piena di piume colorate. Tra le piume trovi una scatoletta a forma di sarcofago.\n\nOttieni l'Oggetto Unico <b> Scatola del Rompicapo </b> e 1 {clue}.\nSe hai avuto 3 o più successi prendi anche l'Oggetto Comune <b>Bibbia di Re Giacomo</b>. Rimuovi il segnalino Ricerca."
EventBIBLIA.button1,Continua
EventBusquedaCampana.text,"La campana non sembra avere un granello di polvere su di essa. C'è una leva appena sotto.\n\nRimuovi il segnalino di Ricerca e piazza un segnalino Interazione nello spazio indicato."
EventBusquedaCampana.button1,Continua
EventAccionarAdelante2.text,Prima che finisca il primo rintocco della campana, il pavimento scompare sotto i tuoi piedi e cadi attraverso un'apertura nel pavimento.
EventAccionarAdelante2.button1,Continua
EventCaidaTrampillaCampanario.text,"Sebbene tu stia cadendo, ti sembra di cadere al rallentatore, come una sensazione di galleggiamento, comunque sai che stai scendendo.\n\nRimuovi il tuo investigatore dal tabellone.\nQualsiasi Investigatore che non si trova sul tabellone non può subire danni, orrore o essere influenzato da eventi durante la fase Miti."
EventCaidaTrampillaCampanario.button1,Continua
EventAccionarAtras2.text,"Si sente il rumore di qualcosa che scricchiola nel corridoio. Ottieni 1 {clue} e subisci 1 orrore a faccia in giù ({will} -1 nega).\n\nPosiziona il segnalino passaggio segreto nello spazio Corridoio come indicato. Puoi interagire con questo token."
EventAccionarAtras2.button1,Continua
EventAccionarAtras.text,Spostare la leva all'indietro (-). Un meccanismo aziona la campana e sebbene inizi a oscillare, non emette alcun suono.
EventAccionarAtras.button1,Continua
EventMostrarSotanoCaida.text,"Ti chiedi da quanto tempo stai cadendo e se questo pozzo abbia un fondo. Mentre pensi, la sensazione di cadere aumenta rapidamente finché non atterri sul pavimento duro e freddo.\n\nPosiziona la tessera <b> {c:TileSotano}</b>, i segnalini porta e passaggio segreto, come indicato."
EventMostrarSotanoCaida.button1,Continua
EventHeridoCaidaSotanoPesadilla.text,"Posiziona l'investigatore che stava cadendo dal campanile nel seminterrato come indicato. Questo Investigatore scarta tutte le sue carte danni a faccia in giù e prende una carta Ferito. Sei <b> Ferito </b>. A causa della brutta caduta, diventi anche <b> Stordito </b>.\n\nSe l'investigatore era già ferito, viene invece sconfitto. Gli investigatori rimanenti hanno un turno aggiuntivo per completare l'indagine."
EventHeridoCaidaSotanoPesadilla.button1,Continua
EventEntrarPasadizoSecreto.text,"Fai un respiro profondo ed entri nel passaggio all'interno del muro. Avanzi cautamente nell'oscurità assoluta.\n\nRimuovi il tuo investigatore dal tabellone.\nQualsiasi Investigatore che non si trova sul tabellone non può subire danni, orrori o essere influenzato da eventi durante la fase Miti."
EventEntrarPasadizoSecreto.button1,Continua
EventSotanoCaida2.text,Ti chiedi da quanto tempo stai cadendo e se questo pozzo abbia un fondo. Mentre pensi, inizi a sentire la sensazione di cadere aumentare rapidamente e colpisci il fondo duro e freddo.
EventSotanoCaida2.button1,Continua
EventMostrarSotanoPasadizo.text,"Giri l'angolo e una debole luce gialla appare alla fine del tunnel. Ti dirigi verso di essa.\n\nPosiziona il segnalino passaggio segreto nel luogo designato."
EventMostrarSotanoPasadizo.button1,Continua
EventDentroSotano1.text,"L'odore del letame ti fa venire la nausea e un'intensa umidità permea in tutta la stanza. Non ci sono finestre che permettano all'aria di entrare, solo le porte consentono l'eventuale ventilazione. Il pavimento di fango sembra essere stato ripulito di recente in alcuni punti.\n\nPosiziona i segnalini Esplorazione e Ricerca come indicato."
EventDentroSotano1.button1,Continua
EventLlegarSotanoPasadizo.text,Giri l'angolo e una debole luce gialla appare alla fine del tunnel. Ti dirigi verso di essa ed esci in quello che sembra un seminterrato.
EventLlegarSotanoPasadizo.button1,Continua
EventEstas1Pieza.text,Posiziona l'investigatore che si è perso nel passaggio segreto dietro l'armadio, nel seminterrato come indicato.
EventEstas1Pieza.button1,Continua
EventEstas1Pieza2.text,Posiziona l'investigatore che si era perso nel passaggio segreto dietro l'armadio, nella tessera del seminterrato come indicato.
EventEstas1Pieza2.button1,Continua
EventRESObjetosEsquina.text,"\nEsamini le piume e qualcosa di luminoso cattura la tua attenzione. Le guardi attentamente e facendo attenzione a non tagliarti, prendi un coltello decorato sepolto tra loro.\n\nOttieni l'Oggetto Comune <b>Pugnale Rituale</b>. Rimuovi il segnalino Ricerca.\n"
EventRESObjetosEsquina.button1,Continua
EventMostrarBiblioteca.text,"\nI cardini della porta cigolano quando la apri per rivelare una piccola libreria. Una folata di aria fredda ti fa rizzare i capelli e non puoi reprimere i brividi. Le pareti della stanza sono ricoperte da scaffali pieni di libri.\n\nRimuovi il segnalino Esplorazione e posiziona la tessera <b> {c:TileBIBLIOTECA}</b>.\n"
EventMostrarBiblioteca.button1,Continua
EventDentroBiblioteca.text,"Un paio di poltrone rosse e un enorme tappeto persiano danno un'atmosfera calda alla biblioteca, nonostante sia piena zeppa di libri. Noti che uno dei libri è stato lasciato aperto su una delle poltrone. Uno scaffale che si distingue, sembra contenere una bella collezione di libri dall'aspetto antico e raro.\n\nPosiziona i segnalini di ricerca come indicato.\nPuoi spostare l'investigatore di uno spazio nell'area di esplorazione."
EventDentroBiblioteca.button1,Continua
EventLibroBiblio1.text,"Prendi il libro e sulla copertina puoi leggere:\n<i> Le metamorfosi: libro XI, di Ovidio </i>.\nQuando rimuovi il libro scopri un pannello di metallo con 4 pulsanti luminosi. Sono tutti spenti.\n\nOttieni 1 {clue} . Rimuovi il segnalino di Ricerca e posizionare un segnalino Interazione come indicato."
EventLibroBiblio1.button1,Continua
EventLuzVerdeSalidaON.text,Il pulsante diventa verde e si sente un breve suono meccanico in lontananza.
EventLuzVerdeSalidaON.button1, Continua
EventLuzAmarilloSalidaON.text,Il pulsante si illumina di giallo e si sente un breve suono meccanico non lontano da dove ti trovi ora.
EventLuzAmarilloSalidaON.button1,Continua
EventLuzAzulSalidaON.text,Il pulsante diventa blu ... Il silenzio avvolge la stanza.
EventLuzAzulSalidaON.button1, Continua
EventLuzApagadoSalidaON.text,Le luci del pannello si spengono. Senti un suono meccanico che viaggia attraverso le stanze, come se qualcosa si stesse avvicinando, quindi proprio mentre pensi che qualcosa sia quasi sopra di te, il rumore cessa.
EventLuzApagadoSalidaON.button1,Continua
EventLuzVerdeSalidaOFF.text,Il pulsante diventa verde e si sente un breve suono meccanico in lontananza.
EventLuzVerdeSalidaOFF.button1,Continua
EventLuzAmarillaSalidaOFF.text,Il pulsante si illumina di giallo e si sente un breve suono meccanico non lontano da dove ti trovi ora.
EventLuzAmarillaSalidaOFF.button1,Continua
EventLuzAzulSalidaOFF.text,Il pulsante diventa blu ... Il silenzio avvolge la stanza.
EventLuzApagadoSalidaOFF.text,Le luci del pannello si spengono. Senti un suono meccanico che viaggia attraverso le stanze, come se qualcosa si stesse avvicinando, quindi proprio mentre pensi che qualcosa sia quasi sopra di te, il rumore cessa.
EventLuzApagadoSalidaOFF.button1,Continua
EventBuscarSotano1RES.text,"Ti inginocchi e scavi nel fango finché non riesci a dissotterrare un'enorme scatola di metallo. La apri facilmente e al suo interno ci sono diversi oggetti che potrebbero esserti utili.\n\nOttieni gli Oggetti Comuni <b>Bende </b> e <b> Portasigarette Fortunato</b>. Rimuovi il segnalino di Ricerca."
EventBuscarSotano1RES.button1,Continua
EventRESBusqueda2Sotano.text,"Rimuovi un po 'di spazzatura che ti si sbriciola tra le dita finché non trovi un vecchio strumento macchiato di sangue.\n\nOttieni l'Oggetto Comune <b> Maglio </b>. Rimuovi il segnalino di ricerca."
EventRESBusqueda2Sotano.button1,Continua
EventResBusquedaLibroBiblio.text,"La copertina recita:\n<i> Le metamorfosi: libro III, di Ovidio </i>\nCerchi di leggere la pagina aperta, ma non riesci a capire cosa dice, la scritta è troppo piccola. Sul bracciolo della sedia c'è un oggetto che attira la tua attenzione, qualcuno deve averlo usato per leggere il libro.\n\nOttieni l'Oggetto comune <b> Lente d'ingrandimento </b> e 1{clue}, quindi rimuovi il segnalino di Ricerca."
EventResBusquedaLibroBiblio.button1,Continua
EventMALTentaculo.text,"Quando apri la pesante porta, la visione di una grande città in fiamme sotto il mare paralizza la tua mente e il tuo corpo. Un tentacolo verde ti avvolge, trascinandoti senza sforzo verso la città in fiamme. Per un momento, puoi vedere la ragazza vestita di bianco che ti sorride, poco prima che chiuda la porta.\n\nL'investigatore è stato eliminato. Gli investigatori rimanenti hanno un turno aggiuntivo per completare l'indagine."
EventMALTentaculo.button1,Arrivederci
EventMALTentaculo2.text,"La porta è socchiusa. Mentre ti avvicini per aprirla di nuovo, la ragazza con il vestito bianco la chiude delicatamente con una mano e ti guarda negli occhi dicendo:\n<i> -Basta, oggi ha già mangiato. - </i>"
EventMALTentaculo2.button1,Continua
EventSalidaJardin.text,Esci dalla porta e l'aria fresca ti riempie i polmoni. Senti una leggera brezza sul viso che porta con sé il rumore di un ruscello lontano. Ai vostri piedi c'è un sentiero lastricato che conduce nel bosco davanti. I tuoi occhi seguono il percorso e vedi la figura snella di un gatto bianco seduto proprio davanti a te, che ti fissa.
EventSalidaJardin.button1,Continua
EventAzazoth1.text,"\nApri la porta e la piacevole melodia di un flauto e una batteria accompagna un intenso lampo di luce che ti acceca momentaneamente. Cerchi di riaprire gli occhi e ti rendi conto che la macchia nera al centro della tua visione non è un effetto del lampo, ma un abisso nero che non smette di crescere e proviene dal centro della stella che stai contemplando. Il caldo è insopportabile e la luce ti brucia. Delle vesciche iniziano a comparire sulla pelle esposta.\n\nL'Investigatore scarta tutte le carte Danno e Orrore a faccia in giù e poi prende una carta Ferito e Impazzito. Sei <b> ferito </b> ed <b> Impazzito </b>. Ottieni 2 {clue}.\n\nSe l'investigatore era già ferito e/o impazzito, viene eliminato. Gli investigatori rimanenti hanno un turno per completare le indagini.\n"
EventAzazoth1.button1,Continua
EventAzazoth2.text,"\nLa melodia si interrompe all'improvviso. Una frusta di luce ti colpisce al petto e cadi all'indietro, sdraiato a terra. Poi, un piccolo tentacolo di luce sbatte la porta e il silenzio regna nel seminterrato.\n\n  Subisci 2 danni ({strength} -1 nega) e poi subisci 1 orrore. Ottieni 1 {clue}. Rimuovi il segnalino Esplorazione.\n"
EventAzazoth2.button1,Continua
EventMostrarSotanoAmarillo.text,"I gradini di legno conducono ad un seminterrato, con un pavimento è in realtà fango. Percepisci l'umidità della stanza  poco prima della puzza di letame.\n\nPosiziona la tessera <b> {c:TileSotano}</b>, porta e muri come indicato. \nPuoi muoverti di uno spazio nell'area esplorata."
EventMostrarSotanoAmarillo.button1,Continua
EventEntrarSotanoAmarillo.text,"La porta di legno è spalancata.\n\n  Se la tessera seminterrato è stata posizionata in questo turno, puoi attraversare la porta senza spendere un'azione ({action})."
EventEntrarSotanoAmarillo.button1,Continua
EventDentroSotano3.text,"L'odore di letame ti fa venire la nausea e l'umidità permea in ogni centimetro della stanza. Non ci sono finestre per far entrare aria, solo le porte offrono ventilazione. Il pavimento di fango sembra scavato di recente in alcuni punti.\n\nPosiziona un segnalino Esplorazione e Ricerca come indicato."
EventDentroSotano3.button1,Continua
EventMostrarInvernadero.text,"Il vecchio vivaio è circondato da vasi con fiori secchi e anneriti. Le grandi finestre danno una vista sul giardino esterno. Una porta bianca conduce in giardino.\n\n  Posiziona la tessera <b>{c:TileInvernadero}</b>."
EventMostrarInvernadero.button1,Continua
EventMythosFlavor01.text,La luce sul comodino inizia a ronzare e tremolare come se potesse spegnersi da un momento all'altro. Nessun effetto immediato.
EventMythosFlavor01.button1,Continua
